Time,Title,Network,URL
2023.09.05.,“국무위원한테 이동관씨?” 방통위원장은 국무위원인가? [FACT IN 뉴스],세계일보,https://n.news.naver.com/article/448/0000426379
2023.09.04.,"[따져보니] 교육부, 공언한 대로 교사 대규모 징계 나설까",TV조선,https://n.news.naver.com/article/022/0003852395
2023.09.03.,"[따져보니] '추락, 또 추락' 바닥 안 보이는 출산율, 어디까지?",TV조선,https://n.news.naver.com/article/448/0000426195
2023.09.02.,[따져보니] 규제에 꺾인 비대면 진료…소비자 선택권은?,TV조선,https://n.news.naver.com/article/448/0000426021
2023.09.02.,"[사실은] ""홍범도 논란의 핵심, 역사의 소급 적용""",SBS,https://n.news.naver.com/article/448/0000425957
2023.09.02.,尹정권에서도 예우하던 홍범도 장군 흉상 이전…갑자기 왜?[노컷체크],노컷뉴스,https://n.news.naver.com/article/055/0001086515
2023.09.02.,"[팩트와이] ""정권교체 강화에 최선"" 원희룡 발언은 선거법 위반?...과거 사례 따져보니",YTN,https://n.news.naver.com/article/079/0003808316
2023.09.01.,[따져보니] 오염수 방류 국제소송…실효성은?,TV조선,https://n.news.naver.com/article/052/0001930669
2023.09.01.,"[알고보니] 일본 정부, 이 와중에 과거사 왜곡‥관동대학살 기록 없다?",MBC,https://n.news.naver.com/article/448/0000425883
2023.09.01.,[사실확인] 측정기 대면 방사능 수치 '삑'…휴대용 측정기 실효성 있을까,MBN,https://n.news.naver.com/article/214/0001297265
2023.09.01.,"""윤, 현직 대통령 노량진수산시장 첫방문"" 대통령실 브리핑은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/057/0001765898
2023.09.01.,[팩트체크] 과거 어느 정부 때 언론 압박 심했나?,연합뉴스,https://n.news.naver.com/article/047/0002404869
2023.08.31.,"""홍범도, 자유시 사변 '독립군 몰살' 가담"" 주장은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/001/0014164708
2023.08.29.,"정당 대표의 옥중 공천권 행사, 가능할까?[팩트체크]",매일경제,https://n.news.naver.com/article/047/0002404658
2023.08.28.,"[팩트체크] 비키니 오토바이 주행, 공연음란죄 적용 가능한가?",YTN,https://n.news.naver.com/article/009/0005179091
2023.08.28.,[팩트체크] 이틀 근무한 알바생에게 알바비 3백만원 지급했다?,YTN,https://n.news.naver.com/article/052/0001928589
2023.08.28.,"[팩트체크] 경찰의 불심검문, 반드시 응해야 하나?",YTN,https://n.news.naver.com/article/052/0001928588
2023.08.27.,"[팩트체크] 서울시사회서비스원, 적게 일하고 많이 버나",더팩트,https://n.news.naver.com/article/052/0001928587
2023.08.26.,여성 안심귀갓길 큰 효과 없다는 관악구의원 주장…진짜일까 [팩트파인더],한국일보,https://n.news.naver.com/article/629/0000234960
2023.08.26.,"[사실은] 후쿠시마 오염수 '30년' 방류 계획, 따져 보니…",SBS,https://n.news.naver.com/article/469/0000757074
2023.08.26.,[팩트체크]체포동의안 표결 '보이콧'…방탄 실효성 있나?,아시아경제,https://n.news.naver.com/article/055/0001084710
2023.08.26.,[팩트체크]서이초 학부모들은 실제 '갑질' 했을까…처벌 가능성은?,뉴스1,https://n.news.naver.com/article/277/0005305234
2023.08.25.,"[사실확인] 팁 요구, 현행법상 불법이다?",MBN,https://n.news.naver.com/article/421/0007011300
2023.08.25.,[팩트체크] 핵 과학자들이 말하는 오염수 '안전에 문제없어'vs'日本도 모르는 걸?',YTN,https://n.news.naver.com/article/057/0001764510
2023.08.25.,"""검수완박 때문에 지구대 인력 부족"" 국힘 주장은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/052/0001927607
2023.08.25.,"[팩트체크] ""미래에셋 박현주입니다""…'불법 리딩방' 어디까지 처벌 가능할까",더팩트,https://n.news.naver.com/article/047/0002403959
2023.08.24.,[팩트체크] 日 오염수 '세슘우럭'에 대한 오해와 진실,YTN,https://n.news.naver.com/article/629/0000234733
2023.08.24.,[팩트체크] 범죄자 중 정신질환자는 얼마나 될까?,연합뉴스,https://n.news.naver.com/article/052/0001926880
2023.08.22.,"[알고보니] 여성안심귀갓길, 문구만 써놔 효과 없다?",MBC,https://n.news.naver.com/article/001/0014148509
2023.08.22.,[팩트체크] 여운형 선생·홍범도 장군만 건국훈장 두번 받았다?,연합뉴스,https://n.news.naver.com/article/214/0001294778
2023.08.20.,"“선진국 중 공영방송이 이렇게 많은 나라가 없다”는 이동관, 따져보니[팩트체크]",경향신문,https://n.news.naver.com/article/001/0014143581
2023.08.20.,"잼버리 샤워장 태국인 사건, '성범죄'로 보기 어려운 이유는[팩트체크]",머니투데이,https://n.news.naver.com/article/032/0003243690
2023.08.19.,"""이미 판매 중인데""…대한상의 '무라벨 생수' 홍보 왜?[노컷체크]",노컷뉴스,https://n.news.naver.com/article/008/0004927207
2023.08.18.,[팩트체크] “정진석·조현오 사건 서로 다르다” 전주혜 해명…과연?,한겨레,https://n.news.naver.com/article/079/0003803302
2023.08.17.,치수는 정치의 기본이라더니...‘국토부 → 환경부’ 기능 이관이 수해 피해 키웠다? [팩트체크],매일경제,https://n.news.naver.com/article/028/0002652837
2023.08.17.,"[사실은] 야스쿠니 신사 논란, 한일 모두 수위 낮췄다?",SBS,https://n.news.naver.com/article/009/0005173924
2023.08.17.,[팩트체크] 파행 잼버리 영지 배수는 과연 문제가 없었을까?,연합뉴스,https://n.news.naver.com/article/055/0001082213
2023.08.16.,"""극우뇌 아이는 천재과?"" 좌·우뇌인 구분법은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/001/0014135573
